no context,weather,country,homework,weekday,cost,daytime,isweekend,city
0.9537,0.8489,0.9343,0.935,0.9136,0.9374,0.9472,0.9553,0.9489
0.9505,0.8503,0.931,0.9262,0.9129,0.9306,0.9345,0.9463,0.9475
0.9547,0.85,0.9318,0.9313,0.9111,0.9369,0.9334,0.9567,0.95
0.9612,0.8612,0.9415,0.9392,0.925,0.9481,0.9554,0.9639,0.9562
0.9476,0.8491,0.93,0.9254,0.907,0.9325,0.9443,0.9493,0.9452
0.9437,0.8398,0.9282,0.9214,0.9023,0.9296,0.9343,0.9455,0.9386
0.9587,0.8527,0.9385,0.9353,0.9193,0.9425,0.9491,0.9609,0.954
0.9628,0.8603,0.9375,0.9361,0.9063,0.941,0.9443,0.9541,0.9579
0.9502,0.8459,0.9273,0.9249,0.9085,0.93,0.9425,0.9474,0.9443
0.9485,0.8592,0.9364,0.9325,0.9103,0.9367,0.9422,0.955,0.9435
